,Id,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type
0,1,Аквапарк «Фэнтази»,Юго-Восточный административный округ,район Марьино,"Люблинская улица, дом 100",(495) 641-34-51,55.65463,37.739043,"бассейн «Медленная река», в аквапарке Фэнтази",11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,aquapark
1,2,Аквапарк «Комплекс водных развлечений Мореон»,Юго-Западный административный округ,район Ясенево,"Голубинская улица, дом 16",(495) 374-53-35,55.597246,37.527184,волновой бассейн аквапарка Мореон,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,aquapark
2,3,Аквапарк «Центр семейного отдыха «Карибия»,Восточный административный округ,район Перово,"Зелёный проспект, дом 10Б",(495) 095-75-75,55.747844,37.778443,"главный бассейн плавательный в аквапарке №1, «Карибия»",10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,aquapark
3,4,Дворец водных видов спорта «Лужники»,Центральный административный округ,район Хамовники,"улица Лужники, дом 24, строение 4",(495) 637-03-60,55.712861979,37.559212881,"бассейн в аквапарке №1, «Медленная река»",07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,aquapark
4,5,Аквапарк «Фэнтази»,Юго-Восточный административный округ,район Марьино,"Люблинская улица, дом 100",(495) 641-34-51,55.65463,37.739043,"бассейн «Буль-Буль», в аквапарке Фэнтази",11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,aquapark
5,6,Аквапарк «Фэнтази»,Юго-Восточный административный округ,район Марьино,"Люблинская улица, дом 100",(495) 641-34-51,55.65463,37.739043,"бассейн «Лягушатник», в аквапарке Фэнтази",11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,aquapark
6,7,Дворец водных видов спорта «Лужники»,Центральный административный округ,район Хамовники,"улица Лужники, дом 24, строение 4",(495) 637-03-60,55.713043686,37.558075624,"бассейн в аквапарке №5, «Термобассейн»",07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,aquapark
7,8,Дворец водных видов спорта «Лужники»,Центральный административный округ,район Хамовники,"улица Лужники, дом 24, строение 4",(495) 637-03-60,55.712949804,37.558494049,"бассейн в аквапарке №2, «Волновой»",07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,aquapark
8,9,Дворец водных видов спорта «Лужники»,Центральный административный округ,район Хамовники,"улица Лужники, дом 24, строение 4",(495) 637-03-60,55.71278021,37.558612066,"бассейн в аквапарке №4, «Термобассейн»",07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,aquapark
9,10,Дворец водных видов спорта «Лужники»,Центральный административный округ,район Хамовники,"улица Лужники, дом 24, строение 4",(495) 637-03-60,55.713176937,37.558697897,"бассейн в аквапарке №3, «Термобассейн»",07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,aquapark
10,11,Аквапарк «Центр семейного отдыха «Карибия»,Восточный административный округ,район Перово,"Зелёный проспект, дом 10Б",(495) 095-75-75,55.747844,37.778443,"бассейн плавательный в аквапарке №2, «Карибия»",10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,aquapark
11,12,Фитнес-клуб «Бионика (Зебра) Лефортово»,Юго-Восточный административный округ,район Лефортово,"улица Золоторожский Вал, дом 11, строение 27",(495) 175-25-55,55.748975397,37.700543472,бассейн в аквапарке,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,aquapark
