,Id,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type
0,1,Автодром «Русская школа картинга «Пилот»,Северо-Восточный административный округ,район Северное Медведково,"проезд Шокальского, дом 52",(926) 772-88-89,55.88280021,37.669809601,"автодром спортивный открытый, «Русская школа картинга «Пилот»»",11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,autodrome_open
1,2,Автодром «Картодром ГБУ «Талисман»,Зеленоградский административный округ,район Савёлки,"город Зеленоград, посёлок Назарьево, дом 74",(499) 735-98-90,55.972172588,37.25403221,автодром спортивный открытый,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,autodrome_open
2,3,Автодром «Русская спортивная компания»,Юго-Восточный административный округ,район Марьино,"улица Верхние Поля, владение 25А, строение 1",(495) 507-06-23,55.659768535,37.785303114,"автодром спортивный открытый, «Картингдром»",10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,autodrome_open
3,4,Спортивный комплекс Учебно-спортивного комбината МАИ,Северный административный округ,район Коптево,"Большая Академическая улица, дом 38",(499) 154-52-71,55.833525797,37.537694472,автодром спортивный открытый,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,autodrome_open
4,5,Автодром «Перово картинг»,Восточный административный округ,район Новогиреево,"улица Новотетёрки, дом 1",(495) 477-96-27,55.741172151,37.794244426,автодром спортивный открытый,закрыто,закрыто,14:00-20:00,14:00-20:00,14:00-20:00,15:00-20:00,15:00-20:00,autodrome_open
5,6,Центр технических видов спорта «Москва»,Юго-Восточный административный округ,район Печатники,"Курьяновская набережная, дом 17, строение 1",(495) 681-01-48,55.653547686,37.682724342,"автодром спортивный открытый №4, «Площадка для авто-мото занятий 150х150 м»",10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,autodrome_open
6,7,Центр технических видов спорта «Москва»,Юго-Восточный административный округ,район Печатники,"Курьяновская набережная, дом 17, строение 1",(495) 681-01-48,55.654255548,37.67443108,"автодром спортивный открытый №2, «Картинговая трасса»",11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,autodrome_open
7,8,Центр технических видов спорта «Москва»,Юго-Восточный административный округ,район Печатники,"Курьяновская набережная, дом 17, строение 1",(495) 681-01-48,55.653620641,37.680059644,"автодром спортивный открытый №3, «Многофункциональная трасса»",10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,autodrome_open
8,9,Центр технических видов спорта «Москва»,Юго-Восточный административный округ,район Печатники,"Курьяновская набережная, дом 17, строение 1",(495) 681-01-48,55.654887027,37.680793624,"автодром спортивный открытый №6, «Площадка для авто-мото занятий 146х95 м»",10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,autodrome_open
9,10,Центр технических видов спорта «Москва»,Юго-Восточный административный округ,район Печатники,"Курьяновская набережная, дом 17, строение 1",(495) 681-01-48,55.654583729,37.676137309,"автодром спортивный открытый №5, «Площадка для авто-мото занятий 56х56 м»",10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,autodrome_open
10,11,Парк культуры и отдыха «Фили»,Западный административный округ,район Филёвский Парк,"Большая Филёвская улица, дом 22, строение 2",(499) 145-00-00,55.752758136,37.492878587,автодром спортивный открытый,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,autodrome_open
11,12,Центр технических видов спорта «Москва»,Юго-Восточный административный округ,район Печатники,"Курьяновская набережная, дом 17, строение 1",(495) 681-01-48,55.652350159,37.678311377,"автодром спортивный открытый №1, «Мотокроссовая трасса»",10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,autodrome_open
12,13,Автодром Центра военно-патриотического воспитания молодежи,Юго-Восточный административный округ,район Кузьминки,"улица Заречье, дом 3А, строение 1",(495) 376-30-10,55.688151592,37.77133435,автодром спортивный открытый,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,autodrome_open
13,14,Автодром «Мототрек Терехово-13»,Северо-Западный административный округ,район Хорошёво-Мнёвники,"улица Нижние Мнёвники, дом 13",(916) 694-55-54,55.747443765,37.448023981,автодром спортивный открытый,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,autodrome_open
