,Unnamed: 0,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type,Rating,NumReviews
0,0,Аквапарк «Фэнтази»,Юго-Восточный административный округ,район Марьино,"Люблинская улица, дом 100",(495) 641-34-51,55.65463,37.739043,"бассейн «Медленная река», в аквапарке Фэнтази",11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,aquapark,4.1,2317
1,1,Аквапарк «Комплекс водных развлечений Мореон»,Юго-Западный административный округ,район Ясенево,"Голубинская улица, дом 16",(495) 374-53-35,55.597246,37.527184000000005,волновой бассейн аквапарка Мореон,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,aquapark,4.4,11995
2,2,Аквапарк «Центр семейного отдыха «Карибия»,Восточный административный округ,район Перово,"Зелёный проспект, дом 10Б",(495) 095-75-75,55.74784399999999,37.778443,"главный бассейн плавательный в аквапарке №1, «Карибия»",10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,aquapark,4.5,8347
3,3,Дворец водных видов спорта «Лужники»,Центральный административный округ,район Хамовники,"улица Лужники, дом 24, строение 4",(495) 637-03-60,55.712861979,37.559212881,"бассейн в аквапарке №1, «Медленная река»",07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,aquapark,4.5,2758
4,4,Аквапарк «Фэнтази»,Юго-Восточный административный округ,район Марьино,"Люблинская улица, дом 100",(495) 641-34-51,55.65463,37.739043,"бассейн «Буль-Буль», в аквапарке Фэнтази",11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,aquapark,4.1,2317
5,5,Аквапарк «Фэнтази»,Юго-Восточный административный округ,район Марьино,"Люблинская улица, дом 100",(495) 641-34-51,55.65463,37.739043,"бассейн «Лягушатник», в аквапарке Фэнтази",11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,aquapark,4.1,2317
6,6,Дворец водных видов спорта «Лужники»,Центральный административный округ,район Хамовники,"улица Лужники, дом 24, строение 4",(495) 637-03-60,55.713043686000006,37.558075624,"бассейн в аквапарке №5, «Термобассейн»",07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,aquapark,4.5,2758
7,7,Дворец водных видов спорта «Лужники»,Центральный административный округ,район Хамовники,"улица Лужники, дом 24, строение 4",(495) 637-03-60,55.712949804,37.558494049,"бассейн в аквапарке №2, «Волновой»",07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,aquapark,4.5,2758
8,8,Дворец водных видов спорта «Лужники»,Центральный административный округ,район Хамовники,"улица Лужники, дом 24, строение 4",(495) 637-03-60,55.71278021,37.558612066,"бассейн в аквапарке №4, «Термобассейн»",07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,aquapark,4.5,2758
9,9,Дворец водных видов спорта «Лужники»,Центральный административный округ,район Хамовники,"улица Лужники, дом 24, строение 4",(495) 637-03-60,55.713176937,37.558697896999995,"бассейн в аквапарке №3, «Термобассейн»",07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,aquapark,4.5,2758
10,10,Аквапарк «Центр семейного отдыха «Карибия»,Восточный административный округ,район Перово,"Зелёный проспект, дом 10Б",(495) 095-75-75,55.74784399999999,37.778443,"бассейн плавательный в аквапарке №2, «Карибия»",10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,aquapark,4.5,8347
11,11,Фитнес-клуб «Бионика (Зебра) Лефортово»,Юго-Восточный административный округ,район Лефортово,"улица Золоторожский Вал, дом 11, строение 27",(495) 175-25-55,55.748975396999995,37.700543472,бассейн в аквапарке,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,aquapark,3.8,30
12,12,Автодром «Картинг ЦАМК»,Зеленоградский административный округ,район Савёлки,"город Зеленоград, Сосновая аллея, дом 4, строение 3",(499) 735-75-92,55.981263,37.248266,автодром спортивный крытый,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,autodrome_close,4.7,112
13,13,Картинг-центр «МИКС»,Юго-Восточный административный округ,Южнопортовый район,"Шарикоподшипниковская улица, дом 13, строение 89",(495) 640-33-02,55.719672051,37.682267103,автодром спортивный крытый,14:00-23:55,12:00-23:55,12:00-23:55,12:00-23:55,12:00-23:55,13:00-23:55,13:00-23:55,autodrome_close,4.7,744
14,14,Картинг-центр «Зеленокарт»,Зеленоградский административный округ,район Крюково,"город Зеленоград, проектируемый проезд № 687, дом 15, строение 2",(495) 150-96-69,55.965829845,37.166571772,автодром спортивный крытый,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,10:00-23:00,10:00-23:00,autodrome_close,4.6,403
15,15,Автодром «Картинг-клуб «Ле Манс»,Центральный административный округ,Пресненский район,"2-я Магистральная улица, дом 9А, строение 1",(495) 505-02-27,55.758298,37.527008,автодром спортивный крытый,14:00-00:00,14:00-00:00,14:00-00:00,14:00-00:00,14:00-02:00,12:00-02:00,12:00-00:00,autodrome_close,4.6,625
16,16,Автодром «Картинг «Скай картинг»,Западный административный округ,район Филёвский Парк,"Багратионовский проезд, дом 5, строение 32",(495) 120-57-57,55.74275045899999,37.507953496,"автодром спортивный крытый, «Картинг арена»",12:00-23:55,12:00-23:55,12:00-23:55,12:00-23:55,12:00-23:55,12:00-23:55,16:00-23:00,autodrome_close,4.6,470
17,17,Автодром «Лонато картинг»,Южный административный округ,Нагорный район,"Варшавское шоссе, дом 30А",(495) 445-41-00,55.680737494,37.618364293,автодром спортивный крытый,14:00-23:55,14:00-23:55,14:00-23:55,14:00-23:55,14:00-23:55,14:00-23:55,14:00-23:55,autodrome_close,4.7,510
18,18,Развлекательный центр «Капитолий»,Юго-Западный административный округ,район Котловка,"Севастопольский проспект, дом 11Е",(495) 937-04-40,55.687131568999995,37.603668779,"автодром спортивный крытый, «Юрейс картинг»",12:00-23:55,12:00-23:55,12:00-23:55,12:00-23:55,12:00-23:55,10:00-23:55,10:00-23:55,autodrome_close,4.3,5108
19,19,Спортивный комплекс ТЦ «Авиапарк»,Северный административный округ,Хорошёвский район,"улица Авиаконструктора Микояна, дом 10А, строение 1",(495) 644-45-44,55.788803385,37.535425476,"автодром спортивный крытый, «Форза картинг»",09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,autodrome_close,-1.0,-1
20,20,Картинг «Форза ван картинг»,Западный административный округ,район Филёвский Парк,"улица Барклая, дом 6, строение 26",(495) 909-22-88,55.740435,37.505826699,"автодром спортивный крытый, «Картинг»",14:00-23:55,12:00-23:55,12:00-23:55,12:00-23:55,12:00-23:55,13:00-23:55,13:00-23:55,autodrome_close,-1.0,-1
21,21,Автодром «Блэк стар картинг»,Южный административный округ,Даниловский район,"Автозаводская улица, дом 18, корпус 1, сооружение 1",(495) 120-43-13,55.70508761399999,37.639987423,автодром спортивный крытый,10:00-23:55,10:00-23:55,10:00-23:55,10:00-23:55,10:00-23:55,10:00-02:00,10:00-02:00,autodrome_close,-1.0,-1
22,22,Автодром «Русская школа картинга «Пилот»,Северо-Восточный административный округ,район Северное Медведково,"проезд Шокальского, дом 52",(926) 772-88-89,55.88280021,37.669809601,"автодром спортивный открытый, «Русская школа картинга «Пилот»»",11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,autodrome_open,4.5,398
23,23,Автодром «Русская спортивная компания»,Юго-Восточный административный округ,район Марьино,"улица Верхние Поля, владение 25А, строение 1",(495) 507-06-23,55.659768535,37.785303114,"автодром спортивный открытый, «Картингдром»",10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,autodrome_open,4.5,85
24,24,Автодром «Перово картинг»,Восточный административный округ,район Новогиреево,"улица Новотетёрки, дом 1",(495) 477-96-27,55.741172151,37.794244426,автодром спортивный открытый,закрыто,закрыто,14:00-20:00,14:00-20:00,14:00-20:00,15:00-20:00,15:00-20:00,autodrome_open,4.8,6
25,25,Центр технических видов спорта «Москва»,Юго-Восточный административный округ,район Печатники,"Курьяновская набережная, дом 17, строение 1",(495) 681-01-48,55.653547686,37.682724342,"автодром спортивный открытый №4, «Площадка для авто-мото занятий 150х150 м»",10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,autodrome_open,-1.0,-1
26,26,Центр технических видов спорта «Москва»,Юго-Восточный административный округ,район Печатники,"Курьяновская набережная, дом 17, строение 1",(495) 681-01-48,55.654255548,37.67443108,"автодром спортивный открытый №2, «Картинговая трасса»",11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,autodrome_open,-1.0,-1
27,27,Центр технических видов спорта «Москва»,Юго-Восточный административный округ,район Печатники,"Курьяновская набережная, дом 17, строение 1",(495) 681-01-48,55.653620641,37.680059644,"автодром спортивный открытый №3, «Многофункциональная трасса»",10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,autodrome_open,-1.0,-1
28,28,Центр технических видов спорта «Москва»,Юго-Восточный административный округ,район Печатники,"Курьяновская набережная, дом 17, строение 1",(495) 681-01-48,55.654887027,37.680793624,"автодром спортивный открытый №6, «Площадка для авто-мото занятий 146х95 м»",10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,autodrome_open,-1.0,-1
29,29,Центр технических видов спорта «Москва»,Юго-Восточный административный округ,район Печатники,"Курьяновская набережная, дом 17, строение 1",(495) 681-01-48,55.654583728999995,37.676137309,"автодром спортивный открытый №5, «Площадка для авто-мото занятий 56х56 м»",10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,autodrome_open,-1.0,-1
30,30,Центр технических видов спорта «Москва»,Юго-Восточный административный округ,район Печатники,"Курьяновская набережная, дом 17, строение 1",(495) 681-01-48,55.652350158999994,37.678311377,"автодром спортивный открытый №1, «Мотокроссовая трасса»",10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,autodrome_open,-1.0,-1
