,Unnamed: 0,Округ,Площадь км²1.07.2012,% отобщейплощади,Местопоплощади,Населениечел. 2023 год,% отобщегонаселения,Место понаселению,Плотностьнаселениячел. / км²2023,Место поплотностинаселения
0,0,Центральный,"66,18","2,62 %",11,771 733,5.89,9,"11 661,91",5
1,1,Северный,"113,73","4,50 %",7,1 208 839,9.22,7,"10 629,4",7
2,2,Северо-Восточный,"101,88","4,03 %",9,1 438 138,10.97,4,"14 115,58",1
3,3,Восточный,"154,84","6,13 %",3,1 509 702,11.52,2,"9750,36",8
4,4,Юго-Восточный,"117,56","4,65 %",6,1 505 836,11.49,5,"12 809,12",4
5,5,Южный,"131,77","5,22 %",5,1 784 570,13.62,1,"13 542,77",2
6,6,Юго-Западный,"111,36","4,41 %",8,1 432 679,10.93,3,"12 865,04",3
7,7,Западный,"153,03","6,06 %",4,1 436 899,10.97,6,"9389,39",9
8,8,Северо-Западный,"93,28","3,69 %",10,1 032 775,7.88,8,"11 071,65",6
9,9,Зеленоградский,"37,20","1,47 %",12,262 505,2.0,11,"7056,6",10
10,10,Троицкий,"1084,34","42,92 %",1,191 880,1.46,12,"176,96",12
11,11,Новомосковский,"361,36","14,30 %",2,528 621,4.03,10,"1462,87",11
