,Id,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type
0,1,Спортивный комплекс «Алтуфьевский»,Северо-Восточный административный округ,Алтуфьевский район,"Инженерная улица, дом 5, корпус 1",(499) 900-90-18,55.879365655,37.578416167,бассейн плавательный 25-метровый крытый,07:30-23:00,07:30-23:00,07:30-23:00,07:30-23:00,07:30-23:00,10:00-21:15,10:00-21:15,pool_close
1,2,Фитнес-клуб «Ворлд Класс» Житная,Центральный административный округ,район Якиманка,"Житная улица, дом 14, строение 2",(495) 771-66-00,55.731530896,37.615727158,бассейн плавательный крытый,07:00-01:00,07:00-01:00,07:00-01:00,07:00-01:00,07:00-01:00,09:00-23:55,09:00-23:55,pool_close
2,3,Спортивный комплекс Московского государственного технического университета им Н.Э. Баумана,Центральный административный округ,Басманный район,"Госпитальная набережная, дом 4, строение 1",(499) 263-22-37,55.772210408,37.697757891,бассейн плавательный 50-метровый крытый,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,pool_close
3,4,Бассейн Российского университета транспорта на Новосущевской,Северо-Восточный административный округ,район Марьина Роща,"Новосущёвская улица, дом 24, строение 1",(495) 684-21-35,55.790149853,37.604598499,бассейн плавательный 25-метровый крытый,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,10:00-22:00,10:00-22:00,pool_close
4,5,Фитнес-клуб «Ворлд Класс» Тульская,Южный административный округ,Донской район,"Варшавское шоссе, дом 12А",(495) 633-03-03,55.69709159,37.617859721,бассейн плавательный 25-метровый крытый,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,09:00-00:00,09:00-00:00,pool_close
5,6,Фитнес-клуб «Пирамида»,Юго-Западный административный округ,Академический район,"улица Дмитрия Ульянова, дом 31",(495) 128-89-69,55.684695469,37.585458055,бассейн плавательный крытый,06:00-00:00,06:00-00:00,06:00-00:00,06:00-00:00,06:00-00:00,08:00-00:00,08:00-00:00,pool_close
6,7,Спортивный комплекс «Акватория Тушино»,Северо-Западный административный округ,район Северное Тушино,"улица Вилиса Лациса, домовладение 8",(495) 681-01-48,55.865460793,37.427182454,бассейн плавательный 25-ти метровый крытый,07:00-23:30,07:00-23:30,07:00-23:30,07:00-23:30,07:00-23:30,07:45-22:45,07:45-22:45,pool_close
7,8,Спортивный комплекс «Аквамарин»,Северо-Западный административный округ,район Митино,"улица Рословка, домовладение 5",(495) 681-01-48,55.831410714,37.366581437,бассейн плавательный 25-ти метровый крытый,07:00-23:30,07:00-23:30,07:00-23:30,07:00-23:30,07:00-23:30,07:45-22:45,07:45-22:45,pool_close
8,9,"Спортивный комплекс «Косино», ул. Николая Старостина, д.8А",Восточный административный округ,район Косино-Ухтомский,"улица Николая Старостина, дом 8А",(495) 513-12-90,55.729769593,37.853329058,бассейн плавательный 25-метровый крытый,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,pool_close
9,10,"Спортивный комплекс «Косино», ул. Николая Старостина, д.8А",Восточный административный округ,район Косино-Ухтомский,"улица Николая Старостина, дом 8А",(495) 513-12-90,55.729669696,37.85356241,бассейн плавательный площадью более 60 кв.м крытый,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,pool_close
