,Id,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type
0,1,Парк культуры и отдыха «Фили»,Западный административный округ,район Филёвский Парк,"Большая Филёвская улица, дом 22, строение 2",(499) 145-00-00,55.747844871,37.47408704,бассейн плавательный площадью более 60 кв.м открытый №1,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,pool_open
1,2,Фитнес-клуб «Вита-спорт»,Северо-Западный административный округ,район Хорошёво-Мнёвники,"Живописная улица, дом 21, корпус 2",(495) 032-36-36,55.789524577,37.447958143,бассейн плавательный 25-метровый открытый,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,pool_open
2,3,Физкультурно-оздоровительный комплекс с бассейном «Чайка»,Центральный административный округ,район Хамовники,"Турчанинов переулок, дом 3, строение 1",(499) 246-13-44,55.736218228,37.59692843,бассейн плавательный 50-метровый открытый,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,pool_open
3,4,"Парк «Парк культуры и отдыха «Сокольники», пр-д Митьковский",Восточный административный округ,район Сокольники,"Митьковский проезд, дом 1, строение 2",(499) 393-92-22,55.793815555,37.663526965,бассейн плавательный открытый №1,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,pool_open
4,5,Дворец водных видов спорта «Лужники»,Центральный административный округ,район Хамовники,"улица Лужники, дом 24, строение 4",(495) 637-03-60,55.711992255,37.556591576,бассейн плавательный 50-метровый открытый,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,pool_open
5,6,Физкультурно-оздоровительный комплекс с бассейном «Чайка»,Центральный административный округ,район Хамовники,"Турчанинов переулок, дом 3, строение 1",(499) 246-13-44,55.736009389,37.597379041,бассейн плавательный 25-метровый открытый,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,pool_open
6,7,Дворец водных видов спорта «Лужники»,Центральный административный округ,район Хамовники,"улица Лужники, дом 24, строение 4",(495) 637-03-60,55.712156534,37.555803321,"бассейн плавательный открытый, «Аквакомплекс Лужники»",07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,pool_open
7,8,Спортивный комплекс «Акватория ЗИЛ»,Южный административный округ,Даниловский район,"Автозаводская улица, дом 23, корпус 4",(495) 681-01-48,55.700431888,37.647215517,бассейн плавательный 50-метровый открытый,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,pool_open
8,9,Пляжный центр «Суперпляж»,Северо-Западный административный округ,район Строгино,"Строгинское шоссе, дом 1Б/Н",(925) 507-08-09,55.803674493,37.43875311,бассейн плавательный площадью более 60 кв.м открытый,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,pool_open
9,10,"Парк «Парк культуры и отдыха «Сокольники», пр-д Митьковский",Восточный административный округ,район Сокольники,"Митьковский проезд, дом 1, строение 2",(499) 393-92-22,55.793755133,37.663778829,бассейн плавательный открытый №2,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,pool_open
10,11,Фитнес-клуб «Аматус Фемили Фитнес»,Северо-Восточный административный округ,Останкинский район,"улица Академика Королёва, дом 13, строение 5",(495) 001-00-00,55.82053035,37.617899941,бассейн плавательный открытый,06:00-00:00,06:00-00:00,06:00-00:00,06:00-00:00,06:00-00:00,06:00-00:00,06:00-00:00,pool_open
11,12,Парк «Речной Вокзал»,Северный административный округ,Головинский район,"Ленинградское шоссе, дом 51, строение 2",(495) 640-73-55,55.844317353,37.473880153,бассейн плавательный площадью более 60 кв.м открытый №1,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,pool_open
12,13,Парк «Речной Вокзал»,Северный административный округ,Головинский район,"Ленинградское шоссе, дом 51, строение 2",(495) 640-73-55,55.844204543,37.473217259,бассейн плавательный площадью более 60 кв.м открытый №2,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,pool_open
13,14,"Многофункциональный спортивный комплекс «Формула воды», ул. Мироновская",Восточный административный округ,район Соколиная Гора,"Мироновская улица, дом 27, строение 2",(495) 681-01-48,55.788068695,37.731272416,"бассейн плавательный 50-ти метровый открытый, «№8»",06:45-22:00,06:45-22:00,06:45-22:00,06:45-22:00,06:45-22:00,06:45-22:00,07:30-20:00,pool_open
