,Id,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type
0,1,Некоммерческое партнерство «Творческий центр Шаги»,Северный административный округ,район Западное Дегунино,"улица Ивана Сусанина, дом 4, корпус 5",(903) 002-92-92,55.866989605,37.528462976,зал спортивный,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,закрыто,закрыто,sport_gym
1,2,Досуговый центр «Центр Вешняки»,Восточный административный округ,район Вешняки,"улица Старый Гай, дом 8Ж",(499) 373-35-78,55.74038695,37.824642697,зал спортивный №3,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-16:45,закрыто,закрыто,sport_gym
2,3,Досуговый центр «Русь»,Северный административный округ,район Беговой,"Ленинградский проспект, дом 28",(495) 067-64-54,55.783803519,37.572047263,зал спортивный №1,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,закрыто,sport_gym
3,4,Досуговый центр «Новогиреево»,Восточный административный округ,район Новогиреево,"Мартеновская улица, дом 30",(495) 303-50-83,55.74882937,37.80260356,зал спортивный,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,sport_gym
4,5,Физкультурно-оздоровительный комплекс «Центр Вешняки»,Восточный административный округ,район Вешняки,"Вешняковская улица, дом 29Д",(499) 373-02-22,55.722849387,37.831620903,зал спортивный №1,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-18:00,закрыто,sport_gym
5,6,Физкультурно-оздоровительный комплекс «Центр Вешняки»,Восточный административный округ,район Вешняки,"Вешняковская улица, дом 29Д",(499) 373-02-22,55.722849387,37.831620903,"зал спортивный №2, «Борцовский зал-большой»",11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-18:00,закрыто,sport_gym
6,7,Физкультурно-оздоровительный комплекс «Центр Вешняки»,Восточный административный округ,район Вешняки,"Вешняковская улица, дом 29Д",(499) 373-02-22,55.722849387,37.831620903,зал спортивный №3,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-18:00,закрыто,sport_gym
7,8,Физкультурно-оздоровительный комплекс «Центр Вешняки»,Восточный административный округ,район Вешняки,"Вешняковская улица, дом 29Д",(499) 373-02-22,55.722849387,37.831620903,зал спортивный №4,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-18:00,закрыто,sport_gym
8,9,Фитнес-клуб «Мегаполис»,Северный административный округ,Савёловский район,"Вятская улица, дом 27, строение 12",(495) 775-88-89,55.797135645,37.580535459,зал спортивный №1,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,09:00-22:00,09:00-22:00,sport_gym
9,10,Фитнес-клуб «Мегаполис»,Северный административный округ,Савёловский район,"Вятская улица, дом 27, строение 12",(495) 775-88-89,55.797105426,37.580235052,зал спортивный №2,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,09:00-22:00,09:00-22:00,sport_gym
10,11,Фитнес-клуб «Мегаполис»,Северный административный округ,Савёловский район,"Вятская улица, дом 27, строение 12",(495) 775-88-89,55.797034412,37.580412077,зал спортивный №3,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,sport_gym
11,12,Фитнес-клуб «Мегаполис»,Северный административный округ,Савёловский район,"Вятская улица, дом 27, строение 12",(495) 775-88-89,55.797025346,37.580581057,зал спортивный №4,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,sport_gym
12,13,Спортивный комплекс «Измайлово»,Восточный административный округ,район Северное Измайлово,"11-я Парковая улица, дом 49",(499) 463-54-66,55.806217689,37.803114509,зал спортивный №9,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,sport_gym
13,14,Спортивный комплекс «Измайлово»,Восточный административный округ,район Северное Измайлово,"11-я Парковая улица, дом 49",(499) 463-54-66,55.806227613,37.803392365,зал спортивный №1 (бокс),07:00-23:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,sport_gym
14,15,Спортивный комплекс «Измайлово»,Восточный административный округ,район Северное Измайлово,"11-я Парковая улица, дом 49",(499) 463-54-66,55.80623114,37.803687408,зал спортивный №3 (борьба),07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,sport_gym
15,16,Досуговый центр «Талисман»,Зеленоградский административный округ,район Савёлки,"город Зеленоград, корпус 618",(499) 735-98-90,55.989205515,37.235520709,зал спортивный,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,закрыто,закрыто,sport_gym
