,Id,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type
0,1,Физкультурно-оздоровительный комплекс с бассейном Московской теннисной академии,Западный административный округ,район Тропарёво-Никулино,"улица Коштоянца, дом 20",(495) 430-82-38,55.674962662,37.476562455,зал теннисный,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,08:00-22:00,08:00-22:00,tennis
1,2,Физкультурно-оздоровительный комплекс МССУОР № 3,Восточный административный округ,район Соколиная Гора,"Ткацкая улица, дом 24",(499) 166-95-34,55.78590669,37.731295187,зал теннисный №3,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,tennis
2,3,"Теннисные корты Российского государственного университета физической культуры, спорта, молодёжи и туризма",Восточный административный округ,район Измайлово,"Сиреневый бульвар, дом 4, строение 12",(495) 961-31-11,55.799479955,37.765708636,зал теннисный №1,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,tennis
3,4,"Теннисные корты Российского государственного университета физической культуры, спорта, молодёжи и туризма",Восточный административный округ,район Измайлово,"Сиреневый бульвар, дом 4, строение 12",(495) 961-31-11,55.799035761,37.765644263,зал теннисный №2,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,tennis
4,5,"Теннисные корты Российского государственного университета физической культуры, спорта, молодёжи и туризма",Восточный административный округ,район Измайлово,"Сиреневый бульвар, дом 4, строение 12",(495) 961-31-11,55.799368151,37.765494059,зал теннисный №4,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,tennis
5,6,Фитнес-клуб «Премьер-спорт»,Западный административный округ,район Раменки,"улица Улофа Пальме, дом 5, строение 2",(499) 112-22-98,55.717667979,37.508689106,зал теннисный №2,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,09:00-23:00,09:00-23:00,tennis
6,7,Фитнес-клуб «Олимпик стар»,Западный административный округ,район Филёвский Парк,"Рублёвское шоссе, дом 10",(495) 320-94-00,55.73920106,37.44040628,зал теннисный №1,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,09:00-23:00,09:00-23:00,tennis
7,8,Спортивный комплекс Московского государственного института международных отношений,Западный административный округ,район Проспект Вернадского,"проспект Вернадского, дом 76, корпус Е, строение 2",(495) 234-84-02,55.672653592,37.484662414,зал теннисный,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,tennis
8,9,Фитнес-клуб «Голдс Джим Динамо»,Северный административный округ,район Беговой,"Ленинградский проспект, дом 31, строение 30",(495) 931-96-16,55.783930786,37.562446739,зал теннисный,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,09:00-22:00,09:00-22:00,tennis
9,10,Спортивно-оздоровительный центр «Премьер-Теннис»,Северный административный округ,Савёловский район,"Петровско-Разумовский проезд, дом 29",(495) 147-97-27,55.80415369,37.561638139,зал теннисный №1,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,tennis
10,11,Спортивно-оздоровительный центр «Премьер-Теннис»,Северный административный округ,Савёловский район,"Петровско-Разумовский проезд, дом 29",(495) 147-97-27,55.80415369,37.561638139,зал теннисный №2,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,tennis
11,12,Спортивно-оздоровительный центр «Премьер-Теннис»,Северный административный округ,Савёловский район,"Петровско-Разумовский проезд, дом 29",(495) 147-97-27,55.80415369,37.561638139,зал теннисный №3,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,tennis
12,13,Учебно-спортивная база ЦСКА,Северный административный округ,Хорошёвский район,"3-я Песчаная улица, дом 2",(499) 157-75-91,55.792853913,37.520414062,зал теннисный №1,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,tennis
13,14,Учебно-спортивная база ЦСКА,Северный административный округ,Хорошёвский район,"3-я Песчаная улица, дом 2",(499) 157-75-91,55.792926634,37.520776161,зал теннисный №2,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,tennis
14,15,Учебно-спортивная база ЦСКА,Северный административный округ,Хорошёвский район,"3-я Песчаная улица, дом 2",(499) 157-75-91,55.792925126,37.520695694,зал теннисный №4,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,tennis
15,16,Учебно-спортивная база ЦСКА,Северный административный округ,Хорошёвский район,"3-я Песчаная улица, дом 2",(499) 157-75-91,55.792806002,37.520279952,зал теннисный №3,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,tennis
16,17,Фитнес-клуб «Эйс»,Северный административный округ,район Ховрино,"Флотская улица, дом 15, корпус 2",(495) 453-22-44,55.857651995,37.504965116,зал теннисный №1,07:00-23:59,07:00-23:59,07:00-23:59,07:00-23:59,07:00-23:59,07:00-23:59,07:00-23:59,tennis
17,18,Фитнес-клуб «Эйс»,Северный административный округ,район Ховрино,"Флотская улица, дом 15, корпус 2",(495) 453-22-44,55.857524105,37.505148082,зал теннисный №2,07:00-23:59,07:00-23:59,07:00-23:59,07:00-23:59,07:00-23:59,07:00-23:59,07:00-23:59,tennis
18,19,Спортивный комплекс образовательного учреждения,Южный административный округ,район Орехово-Борисово Северное,"улица Маршала Захарова, дом 8, корпус 1",(495) 393-43-81,55.623398634,37.700032077,зал теннисный №1,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,tennis
19,20,Спортивный комплекс образовательного учреждения,Южный административный округ,район Орехово-Борисово Северное,"улица Маршала Захарова, дом 8, корпус 1",(495) 393-43-81,55.623448718,37.700284205,зал теннисный №2,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,tennis
20,21,Спортивный комплекс образовательного учреждения,Южный административный округ,район Орехово-Борисово Северное,"улица Маршала Захарова, дом 8, корпус 1",(495) 393-43-81,55.62348059,37.700498781,зал теннисный №3,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,tennis
21,22,Спортивный комплекс образовательного учреждения,Южный административный округ,район Орехово-Борисово Северное,"улица Маршала Захарова, дом 8, корпус 1",(495) 393-43-81,55.623509427,37.700769685,зал теннисный №4,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,tennis
22,23,Спортивный комплекс образовательного учреждения,Южный административный округ,район Орехово-Борисово Северное,"улица Маршала Захарова, дом 8, корпус 1",(495) 393-43-81,55.623544334,37.701000355,зал теннисный №5,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,tennis
