,Id,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type
0,1,Фитнес-клуб «СССР» Краснобогатырская,Восточный административный округ,район Богородское,"Краснобогатырская улица, дом 2, строение 1",(495) 150-09-00,55.814564348,37.693818027,зал тренажерный,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,train_gym
1,2,Физкультурно-оздоровительный комплекс «Центр Вешняки»,Восточный административный округ,район Вешняки,"Вешняковская улица, дом 29Д",(499) 373-02-22,55.722849387,37.831620903,зал тренажерный,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-18:00,закрыто,train_gym
2,3,Досуговый центр «Заря»,Зеленоградский административный округ,район Матушкино,"город Зеленоград, корпус 165",(499) 736-43-10,56.010257831,37.210288269,зал тренажерный,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,train_gym
3,4,Досуговый центр «Фаворит»,Зеленоградский административный округ,район Крюково,"город Зеленоград, корпус 1639",(499) 733-41-44,55.976029599,37.159377751,зал тренажерный,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,закрыто,train_gym
4,5,Спортивный комплекс «Борисово»,Южный административный округ,район Москворечье-Сабурово,"улица Борисовские Пруды, дом 29",(495) 390-33-75,55.636200753,37.727356247,зал тренажерный,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,train_gym
5,6,Спортивный комплекс «Эдельвейс»,Восточный административный округ,район Гольяново,"Уральская улица, дом 19А",(495) 681-01-48,55.821793385,37.797265276,зал тренажерный,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-22:00,09:00-22:00,train_gym
6,7,Спортивный комплекс «Вешняки»,Восточный административный округ,район Вешняки,"Косинская улица, дом 12Б",(495) 681-01-48,55.72470402,37.833667586,зал тренажерный,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,08:30-21:30,08:30-21:30,train_gym
7,8,Тренажерный зал «Олимп»,Восточный административный округ,район Вешняки,"Реутовская улица, дом 10, корпус 1",(499) 373-35-78,55.737928325,37.837244704,зал тренажерный №1,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,закрыто,закрыто,train_gym
8,9,Фитнес-клуб «Х-Фит Монарх»,Северный административный округ,район Беговой,"Ленинградский проспект, дом 31А, строение 1",(495) 232-40-22,55.783471414,37.559695444,зал тренажерный,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,08:00-23:00,08:00-23:00,train_gym
9,10,Фитнес-клуб «Х-Фит Правда»,Северный административный округ,район Беговой,"улица Правды, дом 21, строение 2",(495) 966-14-12,55.788020156,37.579740691,зал тренажерный,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,09:00-22:00,09:00-22:00,train_gym
